sample_id,pixelsilicon_psnr,bicubic_psnr,psnr_improvement,pixelsilicon_ssim,bicubic_ssim,ssim_improvement
000658,24.0248,19.7538,4.2710,0.7959,0.4694,0.3265
001838,25.4578,23.3465,2.1114,0.7302,0.5961,0.1341
001731,18.9852,18.2000,0.7852,0.5977,0.6429,-0.0452
002163,23.1443,19.8699,3.2744,0.6600,0.5172,0.1429
002303,31.8498,21.7409,10.1089,0.7897,0.3034,0.4863
000811,29.0142,20.9963,8.0179,0.9117,0.2713,0.6405
002019,23.4754,20.8573,2.6181,0.7018,0.5679,0.1339
000189,24.5476,23.0377,1.5099,0.7673,0.6997,0.0676
000770,31.8614,26.0186,5.8427,0.7963,0.5035,0.2928
002467,25.6641,21.6794,3.9847,0.7429,0.6053,0.1376
001335,21.4168,20.0541,1.3627,0.3486,0.4609,-0.1124
001481,27.7053,19.6125,8.0928,0.7881,0.3325,0.4556
001582,35.4166,26.7228,8.6938,0.9210,0.6285,0.2926
000891,36.1352,21.5090,14.6261,0.9329,0.3062,0.6266
001534,27.1072,25.4353,1.6719,0.8519,0.6187,0.2332
000200,26.7903,22.8427,3.9475,0.3736,0.3377,0.0359
001262,34.8034,31.9393,2.8641,0.9385,0.8820,0.0565
003115,25.6617,24.0149,1.6468,0.8213,0.7651,0.0562
003059,30.1245,21.8790,8.2455,0.8393,0.2158,0.6235
003083,27.7206,21.8292,5.8914,0.7467,0.4095,0.3372
001234,31.3586,23.8095,7.5490,0.8496,0.4789,0.3706
003027,28.6375,21.4451,7.1924,0.6041,0.2948,0.3093
003165,28.9718,23.0339,5.9379,0.8676,0.6226,0.2450
001571,28.1274,26.5584,1.5690,0.5697,0.5649,0.0048
001839,25.0006,23.5152,1.4854,0.7823,0.6891,0.0933
001018,29.7905,23.6872,6.1033,0.8238,0.5117,0.3121
000412,31.4527,22.8763,8.5763,0.7561,0.3415,0.4146
000847,34.0986,30.0480,4.0506,0.9140,0.8092,0.1048
000434,30.6751,28.0128,2.6622,0.7484,0.6965,0.0518
000285,30.0634,27.3397,2.7237,0.7797,0.6569,0.1229
002419,27.3647,24.3969,2.9678,0.7589,0.6604,0.0985
000816,29.5600,25.3286,4.2315,0.7203,0.5428,0.1775
